Study ID,Title,Is the paper based on research (or is it a discussion paper based on expert opinion)?,Main Research Method,QA1,QA2,QA3,QA4,QA5,QA6,QA7,QA8,QA9,QA10,Score QA1,Score QA2,Score QA3,Score QA4,Score QA5,Score QA6,Score QA7,Score QA8,Score QA9,Score QA10,Final Score Calculation,Final Score
Zeng 2015,CloudSky: A controllable data self-destruction system for untrusted cloud storage networks,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Somani 2016,DDoS attacks in cloud computing: Collateral damage to non-targets,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Qiu 2021,A User-Centric Data Protection Method for Cloud Storage Based on Invertible DWT,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Li 2021,Identity-Based Privacy Preserving Remote Data Integrity Checking for Cloud Storage,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Tang 2017,Towards a trust evaluation middleware for cloud service selection,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Zahoor 2022,A Formal Approach for the Identification of Authorization Policy Conflicts within Multi-Cloud Environments,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Atya 2019,Catch Me if You Can: A Closer Look at Malicious Co-Residency on the Cloud,Yes,Experiment,Yes,Yes,Yes,#NA,Yes,Yes,Yes,No,Yes,Yes,1,1,1,NA,1,1,1,0,1,1,100 x 8/9 = 88.9,88.9
Sajjad 2015,A scalable and dynamic application-level secure communication framework for inter-cloud services,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Partly,No,Yes,Yes,1,1,1,1,1,1,0.5,0,1,1,100 x 8.5/10 = 85,85
Majumdar 2022,ProSAS: Proactive Security Auditing System for Clouds,Yes,Experiment,Partly,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0.5,1,1,1,1,1,1,0,1,1,100 x 8.5/10 = 85,85
Razaque 2017,Privacy preserving model: a new scheme for auditing cloud stakeholders,Yes,Experiment,Yes,Yes,Yes,Yes,Partly,Yes,Yes,No,Yes,Yes,1,1,1,1,0.5,1,1,0,1,1,100 x 8.5/10 = 85,85
Lakshmi 2021,Collusion resistant secret sharing scheme for secure data storage and processing over cloud,Yes,Experiment,Partly,Yes,Yes,Yes,Yes,Yes,Yes,No,Partly,Yes,0.5,1,1,1,1,1,1,0,0.5,1,100 x 8/10 = 80,80
Yu 2015,Remote data possession checking with enhanced security for cloud storage,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,1,1,1,1,1,1,0,0,1,100 x 8/10 = 80,80
Lenkala 2013,Security risk assessment of cloud carrier,Yes,Experiment,Partly,Yes,Yes,Yes,Yes,Yes,Yes,No,Partly,Yes,0.5,1,1,1,1,1,1,0,0.5,1,100 x 8/10 = 80,80
Pauley 2022,Measuring and Mitigating the Risk of IP Reuse on Public Clouds,Yes,Experiment,Yes,Yes,Yes,Yes,Partly,Yes,Yes,No,Partly,Yes,1,1,1,1,0.5,1,1,0,0.5,1,100 x 8/10 = 80,80
Ruan 2019,A trust management framework for clouds,Yes,Experiment,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,1,1,1,0,1,1,0,1,1,100 x 8/10 = 80,80
Levitin 2022,Co-Residence Data Theft Attacks on N-Version Programming-Based Cloud Services with Task Cancelation,Yes,Experiment,Partly,Yes,Yes,#NA,Yes,Yes,Yes,No,Partly,Yes,0.5,1,1,NA,1,1,1,0,0.5,1,100 x 7/9 = 77.8,77.8
Nabeel 2013,Privacy preserving policy-based content sharing in public clouds,Yes,Experiment,Partly,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,0.5,1,1,1,0,1,1,0,1,1,100 x 7.5/10 = 75,75
Rajeh 2017,Saudi cloud infrastructure: a security analysis,Yes,Experiment,Yes,Yes,Yes,Yes,No,Yes,Partly,No,Yes,Yes,1,1,1,1,0,1,0.5,0,1,1,100 x 7.5/10 = 75,75
Ren 2022,Restricting the Number of Times That Data Can Be Accessed in Cloud Storage Using TrustZone,Yes,Experiment,Yes,Yes,Yes,Yes,Partly,Yes,No,No,Yes,Yes,1,1,1,1,0.5,1,0,0,1,1,100 x 7.5/10 = 75,75
Pérez 2017,SecRBAC: Secure data in the Clouds,Yes,Experiment,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Partly,Yes,1,1,1,1,0,1,1,0,0.5,1,100 x 7.5/10 = 75,75
Torkura 2021,Continuous auditing and threat detection in multi-cloud infrastructure,Yes,Experiment,Yes,Yes,Yes,Yes,No,Yes,Partly,No,Partly,Yes,1,1,1,1,0,1,0.5,0,0.5,1,100 x 7/10 = 70,70
Saleh 2013,HPISecure: Towards data confidentiality in cloud applications,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1,1,1,1,1,0,0,0,0,1,100 x 6/10 = 60,60
Sen 2020,Application design phase risk assessment framework using cloud security domains,Yes,Experiment,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,1,1,1,1,0,1,0,0,0,1,100 x 6/10 = 60,60
Nugraha 2021,Towards a framework for trustworthy data security level agreement in cloud procurement,Yes,Case study,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,1,0,1,1,1,1,1,100 x 9/10 = 90,90
Rebollo 2015,Empirical evaluation of a cloud computing information security governance framework,Yes,Case study,Yes,Yes,Yes,Yes,No,Yes,Partly,Partly,Yes,Yes,1,1,1,1,0,1,0.5,0.5,1,1,100 x 8/10 = 80,80
Mitchell 2021,Cloud services and government digital sovereignty in Australia and beyond,Yes,Case study,Partly,Yes,Yes,#NA,Yes,Yes,#NA,No,Partly,Yes,0.5,1,1,NA,1,1,NA,0,0.5,1,100 x 6/8 = 75,75
Compastié 2020,From virtualization security issues to cloud protection opportunities: An in-depth analysis of system virtualization models,Yes,Case study,Partly,Yes,Partly,#NA,#NA,Yes,#NA,No,Yes,Yes,0.5,1,0.5,NA,NA,1,NA,0,1,1,100 x 5/7 = 71.4,71.4
Aljawarneh 2017,Cloud security engineering: Early stages of SDLC,Yes,Case study,Partly,Yes,Partly,#NA,No,Yes,Yes,No,Yes,Yes,0.5,1,0.5,NA,0,1,1,0,1,1,100 x 6/9 = 66.7,66.7
Rizvi 2020,A fuzzy inference system (FIS) to evaluate the security readiness of cloud service providers,Yes,Case study,Partly,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,0.5,1,1,1,0,1,1,0,0,1,100 x 6.5/10 = 65,65
Bartolini 2018,Cloud providers viability: How to address it from an IT and legal perspective?,Yes,Case study,Yes,Yes,Partly,#NA,Yes,Partly,Partly,No,No,Yes,1,1,0.5,NA,1,0.5,0.5,0,0,1,100 x 5.5/9 = 61.1,61.1
Chu 2013,Security concerns in popular cloud storage services,Yes,Case study,No,No,Partly,#NA,#NA,No,No,No,Yes,Yes,0,0,0.5,NA,NA,0,0,0,1,1,100 x 2.5/8 = 31.3,31.3
Taghavifard 2022,Identifying Cloud Computing Risks based on Firm’s Ambidexterity Performance using Fuzzy VIKOR Technique,Yes,Opinion Survey,Yes,Yes,Yes,Yes,#NA,Yes,Yes,Yes,Yes,Yes,1,1,1,1,NA,1,1,1,1,1,100 x 9/9 = 100,100
Yau-Yeung 2020,Cloud accounting risks and mitigation strategies: evidence from Australia,Yes,Opinion Survey,Yes,Yes,Yes,Yes,#NA,Yes,Yes,Yes,Yes,Yes,1,1,1,1,NA,1,1,1,1,1,100 x 9/9 = 100,100
Opara-Martins 2016,Critical analysis of vendor lock-in and its impact on cloud computing migration: a business perspective,Yes,Opinion Survey,Partly,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.5,1,1,1,0,1,1,1,1,1,100 x 8.5/10 = 85,85
Birman 2020,Cost-Effective Malware Detection as a Service over Serverless Cloud Using Deep Reinforcement Learning,Yes,Quasi-Experiment,Partly,Yes,Yes,#NA,Yes,Yes,Yes,No,Yes,Yes,0.5,1,1,NA,1,1,1,0,1,1,100 x 7.5/9 = 83.3,83.3
Atlidakis 2020,Checking Security Properties of Cloud Service REST APIs,Yes,Quasi-Experiment,No,Yes,Yes,#NA,No,Partly,No,No,Partly,Yes,0,1,1,NA,0,0.5,0,0,0.5,1,100 x 4/9 = 44.4,44.4
Chase 2019,A Scalable Approach to Joint Cyber Insurance and Security-As-A-Service Provisioning in Cloud Computing,Yes,Other,Yes,Yes,Yes,#NA,Yes,Yes,Yes,No,Yes,Yes,1,1,1,NA,1,1,1,0,1,1,100 x 8/9 = 88.9,88.9
Gozman 2019,The emerging Cloud Dilemma: Balancing innovation with cross-border privacy and outsourcing regulations,Yes,Other,Yes,Yes,Yes,Yes,#NA,Yes,Yes,No,Yes,Yes,1,1,1,1,NA,1,1,0,1,1,100 x 8/9 = 88.9,88.9
Lu 2016,A pairing-free certificate-based proxy re-encryption scheme for secure data sharing in public clouds,Yes,Other,Yes,Yes,Yes,#NA,Yes,#NA,Yes,No,Yes,Yes,1,1,1,NA,1,NA,1,0,1,1,100 x 7/8 = 87.5,87.5
Kalloniatis 2013,Evaluating cloud deployment scenarios based on security and privacy requirements,Yes,Other,Yes,Yes,Yes,#NA,Yes,Yes,Yes,No,Partly,Yes,1,1,1,NA,1,1,1,0,0.5,1,100 x 7.5/9 = 83.3,83.3
Mouratidis 2020,A security requirements modelling language for cloud computing environments,Yes,Other,Yes,Yes,Yes,#NA,Yes,Yes,Partly,No,Yes,Yes,1,1,1,NA,1,1,0.5,0,1,1,100 x 7.5/9 = 83.3,83.3
Chang 2016,Cloud computing adoption framework: A security framework for business clouds,Yes,Other,Partly,Partly,Yes,#NA,Yes,Yes,Yes,No,Yes,Yes,0.5,0.5,1,NA,1,1,1,0,1,1,100 x 7/9 = 77.8,77.8
Modic 2016,Novel efficient techniques for real-time cloud security assessment,Yes,Other,Partly,Yes,Yes,#NA,Yes,Yes,Yes,No,Partly,Yes,0.5,1,1,NA,1,1,1,0,0.5,1,100 x 7/9 = 77.8,77.8
Li 2018,Multi-authority fine-grained access control with accountability and its application in cloud,Yes,Other,Partly,Yes,Yes,#NA,#NA,#NA,#NA,No,Yes,Yes,0.5,1,1,NA,NA,NA,NA,0,1,1,100 x 4.5/6 = 75,75
Gao 2021,A Study on the Security Implications of Information Leakages in Container Clouds,Yes,Other,Partly,Yes,Yes,#NA,#NA,Yes,Yes,No,Partly,Yes,0.5,1,1,NA,NA,1,1,0,0.5,1,100 x 6/8 = 75,75
Casola 2018,Security-by-design in multi-cloud applications: An optimization approach,Yes,Other,Partly,Yes,Yes,#NA,Yes,Yes,Partly,No,Partly,Yes,0.5,1,1,NA,1,1,0.5,0,0.5,1,100 x 6.5/9 = 72.2,72.2
Cayirci 2016,A risk assessment model for selecting cloud service providers,Yes,Other,Partly,Yes,Yes,#NA,Partly,Yes,Yes,No,Partly,Yes,0.5,1,1,NA,0.5,1,1,0,0.5,1,100 x 6.5/9 = 72.2,72.2
Hu 2016,Optimal coding and allocation for perfect secrecy in multiple clouds,Yes,Other,Partly,Yes,Yes,#NA,Partly,#NA,Yes,No,Partly,Yes,0.5,1,1,NA,0.5,NA,1,0,0.5,1,100 x 5.5/8 = 68.8,68.8
Djemame 2016,A Risk Assessment Framework for Cloud Computing,Yes,Other,Yes,Partly,Yes,#NA,Yes,#NA,Yes,No,No,Yes,1,0.5,1,NA,1,NA,1,0,0,1,100 x 5.5/8 = 68.8,68.8
Xiong 2014,A secure data self-destructing scheme in cloud computing,Yes,Other,Yes,Yes,Partly,#NA,#NA,#NA,#NA,No,Yes,Partly,1,1,0.5,NA,NA,NA,NA,0,1,0.5,100 x 4/6 = 66.7,66.7
Gonzales 2017,Cloud-Trust-a Security Assessment Model for Infrastructure as a Service (IaaS) Clouds,Yes,Other,Yes,Yes,Yes,#NA,Partly,Yes,No,No,Partly,Partly,1,1,1,NA,0.5,1,0,0,0.5,0.5,100 x 5.5/9 = 61.1,61.1
Mouratidis 2013,A framework to support selection of cloud providers based on security and privacy requirements,Yes,Other,Partly,Yes,Yes,#NA,#NA,#NA,No,No,No,Yes,0.5,1,1,NA,NA,NA,0,0,0,1,100 x 3.5/7 = 50,50
Wang 2018,Data integrity checking with reliable data transfer for secure cloud storage,Yes,Other,Yes,Yes,Partly,Partly,No,#NA,#NA,No,No,Partly,1,1,0.5,0.5,0,NA,NA,0,0,0.5,100 x 3.5/8 = 43.8,43.8
Beckers 2013,"A pattern-based method for establishing a cloud-specific information security management system: Establishing information security management systems for clouds considering security, privacy, and legal compliance",No,Other,Partly,Yes,#NA,#NA,#NA,#NA,#NA,No,No,Partly,0.5,1,NA,NA,NA,NA,NA,0,0,0.5,100 x 2/5 = 40,40
Demchenko 2017,Defining Intercloud Security Framework and Architecture Components for Multi-cloud Data Intensive Applications,Yes,Other,No,No,No,#NA,Partly,No,No,No,No,Partly,0,0,0,NA,0.5,0,0,0,0,0.5,100 x 1/9 = 11.1,11.1
